group,param,h1yy,pred
het_black_female,mu1,2017,31.01520961246956
het_black_female,mu1,2018,31.711487324935433
het_black_female,mu1,2019,32.407765037401305
het_black_female,mu1,2020,33.104042749867176
het_black_female,mu1,2021,33.80032046233305
het_black_female,mu1,2022,34.49659817479892
het_black_female,mu1,2023,35.19287588726479
het_black_female,mu1,2024,35.88915359973066
het_black_female,mu1,2025,36.58543131219653
het_black_female,mu1,2026,37.281709024662405
het_black_female,mu1,2027,37.977986737128276
het_black_female,mu1,2028,38.67426444959415
het_black_female,mu1,2029,39.37054216206002
het_black_female,mu1,2030,40.06681987452589
het_black_female,mu2,2009,42.45689122232329
het_black_female,mu2,2010,43.15358878394727
het_black_female,mu2,2011,43.85028634557125
het_black_female,mu2,2012,44.546983907195
het_black_female,mu2,2013,45.24368146881898
het_black_female,mu2,2014,45.940379030442955
het_black_female,mu2,2015,46.637076592066705
het_black_female,mu2,2016,47.33377415369068
het_black_female,mu2,2017,48.03047171531466
het_black_female,mu2,2018,48.72716927693841
het_black_female,mu2,2019,49.42386683856239
het_black_female,mu2,2020,50.12056440018637
het_black_female,mu2,2021,50.81726196181012
het_black_female,mu2,2022,51.513959523434096
het_black_female,mu2,2023,52.210657085058074
het_black_female,mu2,2024,52.90735464668205
het_black_female,mu2,2025,53.6040522083058
het_black_female,mu2,2026,54.30074976992978
het_black_female,mu2,2027,54.99744733155376
het_black_female,mu2,2028,55.69414489317751
het_black_female,mu2,2029,56.390842454801486
het_black_female,mu2,2030,57.087540016425464
het_black_female,sigma1,2009,3.6296377689477026
het_black_female,sigma1,2010,3.866930089697348
het_black_female,sigma1,2011,4.104222410446994
het_black_female,sigma1,2012,4.3415147311965825
het_black_female,sigma1,2013,4.578807051946228
het_black_female,sigma1,2014,4.816099372695874
het_black_female,sigma1,2015,5.053391693445519
het_black_female,sigma1,2016,5.290684014195108
het_black_female,sigma1,2017,5.5279763349447535
het_black_female,sigma1,2018,5.765268655694399
het_black_female,sigma1,2019,6.002560976443988
het_black_female,sigma1,2020,6.239853297193633
het_black_female,sigma1,2021,6.477145617943279
het_black_female,sigma1,2022,6.7144379386929245
het_black_female,sigma1,2023,6.951730259442513
het_black_female,sigma1,2024,7.189022580192159
het_black_female,sigma1,2025,7.426314900941804
het_black_female,sigma1,2026,7.663607221691393
het_black_female,sigma1,2027,7.900899542441039
het_black_female,sigma1,2028,8.138191863190684
het_black_female,sigma1,2029,8.375484183940273
het_black_female,sigma1,2030,8.612776504689919
het_black_female,sigma2,2009,10.033845010736968
het_black_female,sigma2,2010,9.851176696377934
het_black_female,sigma2,2011,9.6685083820189
het_black_female,sigma2,2012,9.485840067659865
het_black_female,sigma2,2013,9.30317175330083
het_black_female,sigma2,2014,9.120503438941796
het_black_female,sigma2,2015,8.937835124582705
het_black_female,sigma2,2016,8.75516681022367
het_black_female,sigma2,2017,8.572498495864636
het_black_female,sigma2,2018,8.389830181505602
het_black_female,sigma2,2019,8.207161867146567
het_black_female,sigma2,2020,8.024493552787533
het_black_female,sigma2,2021,7.841825238428498
het_black_female,sigma2,2022,7.659156924069464
het_black_female,sigma2,2023,7.4764886097104295
het_black_female,sigma2,2024,7.293820295351395
het_black_female,sigma2,2025,7.111151980992361
het_black_female,sigma2,2026,6.928483666633326
het_black_female,sigma2,2027,6.745815352274292
het_black_female,sigma2,2028,6.5631470379152574
het_black_female,sigma2,2029,6.380478723556166
het_black_female,sigma2,2030,6.197810409197132
idu_black_male,lambda1,2009,0.04683393442172701
idu_black_male,lambda1,2010,0.1087651802546361
idu_black_male,lambda1,2011,0.1706964260875452
idu_black_male,lambda1,2012,0.2326276719204401
idu_black_male,lambda1,2013,0.2945589177533492
idu_black_male,lambda1,2014,0.3564901635862583
idu_black_male,lambda1,2015,0.4184214094191674
idu_black_male,lambda1,2016,0.4803526552520623
idu_black_male,lambda1,2017,0.5422839010849714
idu_black_male,lambda1,2018,0.6042151469178805
idu_black_male,lambda1,2019,0.6661463927507896
idu_black_male,lambda1,2020,0.7280776385836845
idu_black_male,lambda1,2021,0.7900088844165936
idu_black_male,lambda1,2022,0.8519401302495027
idu_black_male,lambda1,2023,0.9138713760824118
idu_black_male,lambda1,2024,0.9758026219153209
idu_black_male,lambda1,2025,1.0377338677482157
idu_black_male,lambda1,2026,1.0996651135811248
idu_black_male,lambda1,2027,1.161596359414034
idu_black_male,lambda1,2028,1.223527605246943
idu_black_male,lambda1,2029,1.285458851079838
idu_black_male,lambda1,2030,1.347390096912747
idu_black_male,lambda2,2009,0.9531660655782872
idu_black_male,lambda2,2010,0.8912348197453781
idu_black_male,lambda2,2011,0.829303573912469
idu_black_male,lambda2,2012,0.7673723280795741
idu_black_male,lambda2,2013,0.705441082246665
idu_black_male,lambda2,2014,0.6435098364137559
idu_black_male,lambda2,2015,0.5815785905808468
idu_black_male,lambda2,2016,0.5196473447479519
idu_black_male,lambda2,2017,0.45771609891504283
idu_black_male,lambda2,2018,0.39578485308213374
idu_black_male,lambda2,2019,0.33385360724922464
idu_black_male,lambda2,2020,0.27192236141631554
idu_black_male,lambda2,2021,0.20999111558342065
idu_black_male,lambda2,2022,0.14805986975051155
idu_black_male,lambda2,2023,0.08612862391760245
idu_black_male,lambda2,2024,0.024197378084693355
idu_black_male,lambda2,2025,-0.03773386774820153
idu_black_male,lambda2,2026,-0.09966511358111063
idu_black_male,lambda2,2027,-0.16159635941401973
idu_black_male,lambda2,2028,-0.22352760524692883
idu_black_male,lambda2,2029,-0.2854588510798237
idu_black_male,lambda2,2030,-0.3473900969127328
idu_black_male,mu1,2009,33.41372563248069
idu_black_male,mu1,2010,32.59735077338337
idu_black_male,mu1,2011,31.780975914286046
idu_black_male,mu1,2012,30.964601055188723
idu_black_male,mu1,2013,30.1482261960914
idu_black_male,mu1,2014,29.331851336994077
idu_black_male,mu1,2015,28.515476477896755
idu_black_male,mu1,2016,27.699101618799432
idu_black_male,mu1,2017,26.88272675970211
idu_black_male,mu1,2018,26.066351900604786
idu_black_male,mu1,2019,25.249977041507464
idu_black_male,mu1,2020,24.43360218241014
idu_black_male,mu1,2021,23.617227323312818
idu_black_male,mu1,2022,22.800852464215495
idu_black_male,mu1,2023,21.984477605118173
idu_black_male,mu1,2024,21.16810274602085
idu_black_male,mu1,2025,20.351727886923527
idu_black_male,mu1,2026,19.535353027826204
idu_black_male,mu1,2027,18.71897816872888
idu_black_male,mu1,2028,17.90260330963156
idu_black_male,mu1,2029,17.086228450534236
idu_black_male,mu1,2030,16.269853591436913
idu_black_male,mu2,2009,54.05637483396356
idu_black_male,mu2,2010,53.890132701920265
idu_black_male,mu2,2011,53.72389056987697
idu_black_male,mu2,2012,53.55764843783362
idu_black_male,mu2,2013,53.391406305790326
idu_black_male,mu2,2014,53.22516417374703
idu_black_male,mu2,2015,53.05892204170374
idu_black_male,mu2,2016,52.89267990966039
idu_black_male,mu2,2017,52.72643777761709
idu_black_male,mu2,2018,52.5601956455738
idu_black_male,mu2,2019,52.393953513530505
idu_black_male,mu2,2020,52.227711381487154
idu_black_male,mu2,2021,52.06146924944386
idu_black_male,mu2,2022,51.895227117400566
idu_black_male,mu2,2023,51.72898498535727
idu_black_male,mu2,2024,51.56274285331398
idu_black_male,mu2,2025,51.39650072127063
idu_black_male,mu2,2026,51.23025858922733
idu_black_male,mu2,2027,51.06401645718404
idu_black_male,mu2,2028,50.897774325140745
idu_black_male,mu2,2029,50.731532193097394
idu_black_male,mu2,2030,50.5652900610541
idu_black_male,sigma1,2009,6.612449406619135
idu_black_male,sigma1,2010,6.3369706424840615
idu_black_male,sigma1,2011,6.061491878348875
idu_black_male,sigma1,2012,5.786013114213688
idu_black_male,sigma1,2013,5.510534350078615
idu_black_male,sigma1,2014,5.235055585943428
idu_black_male,sigma1,2015,4.959576821808355
idu_black_male,sigma1,2016,4.684098057673168
idu_black_male,sigma1,2017,4.408619293537981
idu_black_male,sigma1,2018,4.133140529402908
idu_black_male,sigma1,2019,3.8576617652677214
idu_black_male,sigma1,2020,3.5821830011325346
idu_black_male,sigma1,2021,3.3067042369974615
idu_black_male,sigma1,2022,3.0312254728622747
idu_black_male,sigma1,2023,2.7557467087272016
idu_black_male,sigma1,2024,2.480267944592015
idu_black_male,sigma1,2025,2.204789180456828
idu_black_male,sigma1,2026,1.929310416321755
idu_black_male,sigma1,2027,1.6538316521865681
idu_black_male,sigma1,2028,1.3783528880513813
idu_black_male,sigma1,2029,1.1028741239163082
idu_black_male,sigma1,2030,0.8273953597811214
idu_black_male,sigma2,2009,5.39130776528134
idu_black_male,sigma2,2010,5.817716047365707
idu_black_male,sigma2,2011,6.244124329450187
idu_black_male,sigma2,2012,6.670532611534554
idu_black_male,sigma2,2013,7.096940893619035
idu_black_male,sigma2,2014,7.523349175703402
idu_black_male,sigma2,2015,7.949757457787882
idu_black_male,sigma2,2016,8.376165739872363
idu_black_male,sigma2,2017,8.80257402195673
idu_black_male,sigma2,2018,9.22898230404121
idu_black_male,sigma2,2019,9.655390586125577
idu_black_male,sigma2,2020,10.081798868210058
idu_black_male,sigma2,2021,10.508207150294425
idu_black_male,sigma2,2022,10.934615432378905
idu_black_male,sigma2,2023,11.361023714463272
idu_black_male,sigma2,2024,11.787431996547753
idu_black_male,sigma2,2025,12.21384027863212
idu_black_male,sigma2,2026,12.6402485607166
idu_black_male,sigma2,2027,13.06665684280108
idu_black_male,sigma2,2028,13.493065124885447
idu_black_male,sigma2,2029,13.919473406969928
idu_black_male,sigma2,2030,14.345881689054295
idu_hisp_male,lambda1,2009,0.23710104843308955
idu_hisp_male,lambda1,2010,0.23779009225555825
idu_hisp_male,lambda1,2011,0.23847913607802718
