group,model,year,pred.fit,lower,upper
idu_white_male,Gamma,2030,1333.457822940796,828.3600774101753,1838.5555684714166
msm_black_male,Gamma,2006,9754.873764657508,9403.214673939547,10106.53285537547
msm_black_male,Gamma,2007,9752.111331698658,9441.14277657687,10063.079886820446
msm_black_male,Gamma,2008,9749.350462855478,9478.00250979176,10020.698415919196
msm_black_male,Gamma,2009,9746.591156799923,9513.276363837604,9979.905949762242
msm_black_male,Gamma,2010,9743.833412205442,9546.079548150714,9941.58727626017
msm_black_male,Gamma,2011,9741.077227746993,9574.857347713658,9907.297107780329
msm_black_male,Gamma,2012,9738.322602101029,9596.936091899304,9879.709112302753
msm_black_male,Gamma,2013,9735.569533945496,9608.381102512276,9862.757965378716
msm_black_male,Gamma,2014,9732.818021959843,9605.631714782701,9860.004329136986
msm_black_male,Gamma,2015,9730.068064825005,9588.732954232422,9871.4031754175885
msm_black_male,Gamma,2016,9727.319661223408,9561.30221309833,9893.337109348486
msm_black_male,Gamma,2017,9724.572809838968,9527.286070312015,9921.859549365921
msm_black_male,Gamma,2018,9721.82750935709,9489.354703787194,9954.300314926986
msm_black_male,Gamma,2019,9719.083758464656,9449.0584434744,9989.109073454913
msm_black_male,Gamma,2020,9716.341555850035,9407.279225099794,10025.403886600276
msm_black_male,Gamma,2021,9713.600900203071,9364.532894797498,10062.668905608645
msm_black_male,Gamma,2022,9710.861790215096,9321.133862935792,10100.5897174944
msm_black_male,Gamma,2023,9708.124224578905,9277.281959977177,10138.966489180633
msm_black_male,Gamma,2024,9705.388201988777,9233.109169010659,10177.667234966895
msm_black_male,Gamma,2025,9702.653721140456,9188.705678537211,10216.6017637437
msm_black_male,Gamma,2026,9699.920780731158,9144.134978435797,10255.706583026518
msm_black_male,Gamma,2027,9697.189379459563,9099.442938665698,10294.93582025343
msm_black_male,Gamma,2028,9694.459516025825,9054.663459497948,10334.255572553702
msm_black_male,Gamma,2029,9691.731189131553,9009.822098658562,10373.640279604544
msm_black_male,Gamma,2030,9689.0043974798209,8964.938465460582,10413.07032949906
msm_hisp_male,Gamma,2006,5553.072968380819,5303.915327807075,5802.230608954562
msm_hisp_male,Gamma,2007,5679.845272253913,5447.999036954884,5911.691507552942
msm_hisp_male,Gamma,2008,5812.541028594141,5599.281860882303,6025.800196305979
msm_hisp_male,Gamma,2009,5951.585329786167,5757.9959086750505,6145.174750897283
msm_hisp_male,Gamma,2010,6097.44494034485,5924.139216650955,6270.750664038745
msm_hisp_male,Gamma,2011,6250.633531644689,6097.212323044243,6404.054740245136
msm_hisp_male,Gamma,2012,6411.717726070125,6275.727045730075,6547.708406410175
msm_hisp_male,Gamma,2013,6581.324100465463,6456.556397008434,6706.091803922492
msm_hisp_male,Gamma,2014,6760.147331342402,6635.122661335007,6885.172001349797
msm_hisp_male,Gamma,2015,6948.959705072389,6808.147415242152,7089.771994902625
msm_hisp_male,Gamma,2016,7148.622267600696,6976.423132288384,7320.821402913009
msm_hisp_male,Gamma,2017,7360.0979531945395,7143.158825497682,7577.037080891397
msm_hisp_male,Gamma,2018,7584.467114533405,7311.2864709418855,7857.647758124925
msm_hisp_male,Gamma,2019,7822.945982681017,7482.758083090657,8163.133882271377
msm_hisp_male,Gamma,2020,8076.908722744963,7658.7894989698225,8495.027946520104
msm_hisp_male,Gamma,2021,8347.913929748769,7840.148937472899,8855.67892202464
msm_hisp_male,Gamma,2022,8637.736643803637,8027.327595488167,9248.145692119106
msm_hisp_male,Gamma,2023,8948.407274153751,8220.621181881588,9676.193366425914
msm_hisp_male,Gamma,2024,9282.259236417462,8420.157717364653,10144.36075547027
msm_hisp_male,Gamma,2025,9641.987666745285,8625.890786409336,10658.084547081233
msm_hisp_male,Gamma,2026,10030.722339001193,8837.565732380552,11223.878945621835
msm_hisp_male,Gamma,2027,10452.118961709317,9054.65900028003,11849.578923138604
msm_hisp_male,Gamma,2028,10910.474496805793,9276.285470576802,12544.663523034784
msm_hisp_male,Gamma,2029,11410.874212374461,9501.063349407063,13320.68507534186
msm_hisp_male,Gamma,2030,11959.381147267588,9726.919536014957,14191.842758520219
msm_white_male,Gamma,2006,10456.03233700135,9804.459986359598,11107.604687643103
msm_white_male,Gamma,2007,9978.912278738806,9457.943993612123,10499.880563865489
msm_white_male,Gamma,2008,9543.43502243596,9131.135523996862,9955.73452087506
msm_white_male,Gamma,2009,9144.376692104524,8821.76217771012,9466.99120649893
msm_white_male,Gamma,2010,8777.352087189176,8527.149252906785,9027.554921471567
msm_white_male,Gamma,2011,8438.65286912413,8243.90841803838,8633.397320209879
msm_white_male,Gamma,2012,8125.121820143815,7967.774272914355,8282.469367373276
msm_white_male,Gamma,2013,7834.054128788186,7694.745796508829,7973.362461067543
msm_white_male,Gamma,2014,7563.119159214864,7424.249676473951,7701.988641955778
