group,parameter,coeff
idu_black_female,sqrtcd4,-0.0053963434402487
idu_black_female,sqrtcd4',-0.0463955523040928
idu_black_female,sqrtcd4'',0.240354880610377
idu_black_female,sqrtcd4_post,0.0264958111763048
idu_black_female,sqrtcd4_post',-0.0078268842994912
idu_black_female,sqrtcd4_post'',-0.0048003750231754
idu_black_male,age,0.001698840710458
idu_black_male,age',-0.0034407662456001
idu_black_male,age'',0.0093357947626221
idu_black_male,h1yy,0.0024342846705603
idu_black_male,intercept,-4.25285438663915
idu_black_male,pre_sqrt,0.865915021937424
idu_black_male,pre_sqrt',0.0123006033968851
idu_black_male,pre_sqrt'',0.178866266369689
idu_black_male,sqrtcd4,-0.0200961422532527
idu_black_male,sqrtcd4',0.0093317478245982
idu_black_male,sqrtcd4'',-0.0136531141227774
idu_black_male,sqrtcd4_post,0.0175522359544024
idu_black_male,sqrtcd4_post',-0.0118572596834205
idu_black_male,sqrtcd4_post'',0.0293092516746159
idu_hisp_female,age,0.0110416593872558
idu_hisp_female,age',-0.0399690865289208
idu_hisp_female,age'',0.137972995660006
idu_hisp_female,h1yy,0.0166376503756979
idu_hisp_female,intercept,-32.1324956034027
idu_hisp_female,pre_sqrt,0.658787963829973
idu_hisp_female,pre_sqrt',0.297566319088796
idu_hisp_female,pre_sqrt'',-0.213753836424376
idu_hisp_female,sqrtcd4,-0.0268709147109901
idu_hisp_female,sqrtcd4',0.0019479379080976
idu_hisp_female,sqrtcd4'',0.0443018829415566
idu_hisp_female,sqrtcd4_post,0.0317627732055038
idu_hisp_female,sqrtcd4_post',-0.0110385526183516
idu_hisp_female,sqrtcd4_post'',-0.0485651210428596
idu_hisp_male,age,0.002503296282472
idu_hisp_male,age',-8.68771279822952e-05
idu_hisp_male,age'',-0.0139787824858112
idu_hisp_male,h1yy,0.0041579967138613
idu_hisp_male,intercept,-7.67300100861758
idu_hisp_male,pre_sqrt,0.858520698271231
idu_hisp_male,pre_sqrt',-0.393939473298555
idu_hisp_male,pre_sqrt'',2.03754143042676
idu_hisp_male,sqrtcd4,-0.0220712985255148
idu_hisp_male,sqrtcd4',0.0026209894582736
idu_hisp_male,sqrtcd4'',0.0355447123653517
idu_hisp_male,sqrtcd4_post,0.0221718287069522
idu_hisp_male,sqrtcd4_post',-0.0212117603694727
idu_hisp_male,sqrtcd4_post'',0.065013147644977
idu_white_female,age,0.0110416593872558
idu_white_female,age',-0.0399690865289208
idu_white_female,age'',0.137972995660006
idu_white_female,h1yy,0.0166376503756979
idu_white_female,intercept,-32.1324956034027
idu_white_female,pre_sqrt,0.658787963829973
idu_white_female,pre_sqrt',0.297566319088796
idu_white_female,pre_sqrt'',-0.213753836424376
idu_white_female,sqrtcd4,-0.0268709147109901
idu_white_female,sqrtcd4',0.0019479379080976
idu_white_female,sqrtcd4'',0.0443018829415566
idu_white_female,sqrtcd4_post,0.0317627732055038
idu_white_female,sqrtcd4_post',-0.0110385526183516
idu_white_female,sqrtcd4_post'',-0.0485651210428596
idu_white_male,age,0.002365939704539
idu_white_male,age',-0.0099327009100573
idu_white_male,age'',0.0359362437631588
idu_white_male,h1yy,0.0023290122175894
idu_white_male,intercept,-3.86147913687957
idu_white_male,pre_sqrt,0.842153465458944
idu_white_male,pre_sqrt',0.214688015127408
idu_white_male,pre_sqrt'',-0.483081640652001
idu_white_male,sqrtcd4,-0.0224051854308057
idu_white_male,sqrtcd4',0.0092761509923927
idu_white_male,sqrtcd4'',0.0262093894605778
idu_white_male,sqrtcd4_post,0.0153384663736763
idu_white_male,sqrtcd4_post',-0.0143302483093607
idu_white_male,sqrtcd4_post'',0.0287187721800464
msm_black_male,age,0.0033710314905974
msm_black_male,age',-0.0050607834218566
msm_black_male,age'',0.0039308872654341
msm_black_male,h1yy,0.0021403371535581
msm_black_male,intercept,-4.17736133631922
msm_black_male,pre_sqrt,0.959411109027207
msm_black_male,pre_sqrt',0.0658069969807219
msm_black_male,pre_sqrt'',-0.199367733769388
msm_black_male,sqrtcd4,-0.024708820512967
msm_black_male,sqrtcd4',0.0057895503670611
msm_black_male,sqrtcd4'',0.0285389891388791
msm_black_male,sqrtcd4_post,0.0255586633494945
msm_black_male,sqrtcd4_post',-0.0298820920475945
msm_black_male,sqrtcd4_post'',0.0985048218954717
msm_hisp_male,age,0.0016045564737429
msm_hisp_male,age',0.0025313047162071
msm_hisp_male,age'',-0.0117246865168574
msm_hisp_male,h1yy,0.0032147648273983
msm_hisp_male,intercept,-5.74756618965677
msm_hisp_male,pre_sqrt,0.863703274539628
msm_hisp_male,pre_sqrt',0.0401262320996259
msm_hisp_male,pre_sqrt'',0.106523918868055
msm_hisp_male,sqrtcd4,-0.0243197625911771
msm_hisp_male,sqrtcd4',0.0105599815229393
msm_hisp_male,sqrtcd4'',-0.0022024206698812
msm_hisp_male,sqrtcd4_post,0.019009203852753
msm_hisp_male,sqrtcd4_post',-0.0268332304271764
msm_hisp_male,sqrtcd4_post'',0.0935635862987864
msm_white_male,age,0.0028129594478383
msm_white_male,age',-0.0048497195619359
msm_white_male,age'',0.0128540763825361
msm_white_male,h1yy,0.0024113383424403
msm_white_male,intercept,-3.64672561726336
msm_white_male,pre_sqrt,0.768484505688734
msm_white_male,pre_sqrt',0.443774464808732
msm_white_male,pre_sqrt'',-1.07237499681046
msm_white_male,sqrtcd4,-0.0253094483514045
msm_white_male,sqrtcd4',0.0126050635313814
msm_white_male,sqrtcd4'',-0.0005186702048713
msm_white_male,sqrtcd4_post,0.0134127717989012
msm_white_male,sqrtcd4_post',-0.0082131526064648
msm_white_male,sqrtcd4_post'',0.0163881004783914
