group,parameter,coeff
idu_black_female,age'',-0.0845642295627815
idu_black_female,h1yy,-0.0066391901419104
idu_black_female,intercept,16.476986110958
idu_black_female,pre_sqrt,0.394129670390025
idu_black_female,pre_sqrt',2.7270346820753395
idu_black_female,pre_sqrt'',-6.830068567226701
idu_black_female,sqrtcd4,-0.0461857019344787
idu_black_female,sqrtcd4',0.0468536072149282
idu_black_female,sqrtcd4'',-0.173287899932924
idu_black_female,sqrtcd4_post,0.0557350572605512
idu_black_female,sqrtcd4_post',-0.0775491729209404
idu_black_female,sqrtcd4_post'',0.36281190486384207
idu_black_male,age,0.00151128613141171
idu_black_male,age',-0.0023109448653413
idu_black_male,age'',0.00110799813786741
idu_black_male,h1yy,0.00590027492698966
idu_black_male,intercept,-11.1924216796141
idu_black_male,pre_sqrt,0.860023997097626
idu_black_male,pre_sqrt',0.19144925820023603
idu_black_male,pre_sqrt'',-0.39765342550411403
idu_black_male,sqrtcd4,-0.0238806357531662
idu_black_male,sqrtcd4',0.00819385376181363
idu_black_male,sqrtcd4'',0.0147951243394243
idu_black_male,sqrtcd4_post,0.0201390798826219
idu_black_male,sqrtcd4_post',-0.0169585060906217
idu_black_male,sqrtcd4_post'',0.0468335141005972
idu_hisp_female,age,0.0122371074080727
idu_hisp_female,age',-0.0554483801656655
idu_hisp_female,age'',0.16265172788119
idu_hisp_female,h1yy,0.0268909532400709
idu_hisp_female,intercept,-53.4031631124992
idu_hisp_female,pre_sqrt,0.742726906506132
idu_hisp_female,pre_sqrt',0.6391684843206761
idu_hisp_female,pre_sqrt'',-2.21857287634632
idu_hisp_female,sqrtcd4,-0.0376958166016325
idu_hisp_female,sqrtcd4',-0.0120783000726697
idu_hisp_female,sqrtcd4'',0.162332162135236
idu_hisp_female,sqrtcd4_post,0.0579629113314971
idu_hisp_female,sqrtcd4_post',-0.0339255690341913
idu_hisp_female,sqrtcd4_post'',-0.0358478878087632
idu_hisp_male,age,0.0028766573733397397
idu_hisp_male,age',0.0213369440455009
idu_hisp_male,age'',-0.097388019722081
idu_hisp_male,h1yy,0.0114654194751324
idu_hisp_male,intercept,-22.394016556532897
idu_hisp_male,pre_sqrt,0.8628999461181229
idu_hisp_male,pre_sqrt',-0.189366286495528
idu_hisp_male,pre_sqrt'',1.4637874806448201
idu_hisp_male,sqrtcd4,-0.0406272912158771
idu_hisp_male,sqrtcd4',0.0313137786882115
idu_hisp_male,sqrtcd4'',-0.0834050643286204
idu_hisp_male,sqrtcd4_post,0.0298061205466462
idu_hisp_male,sqrtcd4_post',-0.042018802581684
idu_hisp_male,sqrtcd4_post'',0.17217635461111902
idu_white_female,age,0.0122371074080727
idu_white_female,age',-0.0554483801656655
idu_white_female,age'',0.16265172788119
idu_white_female,h1yy,0.0268909532400709
idu_white_female,intercept,-53.4031631124992
idu_white_female,pre_sqrt,0.742726906506132
idu_white_female,pre_sqrt',0.6391684843206761
idu_white_female,pre_sqrt'',-2.21857287634632
idu_white_female,sqrtcd4,-0.0376958166016325
idu_white_female,sqrtcd4',-0.0120783000726697
idu_white_female,sqrtcd4'',0.162332162135236
idu_white_female,sqrtcd4_post,0.0579629113314971
idu_white_female,sqrtcd4_post',-0.0339255690341913
idu_white_female,sqrtcd4_post'',-0.0358478878087632
idu_white_male,age,5.42088019365e-05
idu_white_male,age',-0.00736964265473353
idu_white_male,age'',0.0302141645318703
idu_white_male,h1yy,0.00649543160136074
idu_white_male,intercept,-12.5579239641559
idu_white_male,pre_sqrt,0.9421723157955809
idu_white_male,pre_sqrt',0.05159700808187099
idu_white_male,pre_sqrt'',-0.17217203734231099
idu_white_male,sqrtcd4,-0.0346239699601636
